GenAspId;MaUSubs;MaUSelCons;MaUCom;SoUseFo;SoUseFe;SoUseBioconv;SoUseBiocont;SoUsePol;SoUsePet;SoUseCult;SoUseOth;ObtHar;ObtSHar;ObtPro;ContUtNA;ContUtCA;ContUtSA;ContUtAs;ContUtEu;ContUtOc;ContUtAf;MarYN;MarLoc;MarReg;MarNat;MarInt;MarMP;ScLS;ScMS;ScLaS;SocAccCSA;SocAccNA;SocAccAf;SocAccOc;SocAccEu;SocAccAs;LegPunc;LegLeg
88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;N.A.
89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;NA;0;0;0;2;2;0;0;0;0;0;N.A.
90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;N.A.
91;0;0;1;0;0;0;0;1;0;3;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;Pet;1;0;0;3;2;0;0;2;1;0;N.A.
92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;N.A.
93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;N.A.
94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;NA;0;0;0;2;1;0;0;0;0;0;N.A.
95;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;N.A.
96;1;2;2;1;0;0;0;0;0;0;0;2;1;0;1;3;2;0;0;0;0;0;2;1;0;0;Food;1;1;0;3;1;0;0;0;0;0;N.A.
97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;N.A.
98;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;NA;0;0;0;2;0;0;0;0;0;0;N.A.
99;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;NA;0;0;0;2;0;0;0;0;0;0;N.A.
100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;N.A.
101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;N.A.
102;0;0;1;0;1;2;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;1;Laboratory- reared;1;1;1;1;1;1;1;1;1;0;N.A.
103;0;0;1;0;1;2;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;0;0;0;0;2;Laboratory- reared;1;1;2;2;2;2;2;2;2;0;N.A.
104;0;0;2;0;0;0;0;3;0;1;0;0;0;2;1;0;1;2;3;0;0;0;1;1;1;3;Pollination;1;1;3;1;2;0;0;3;2;0;N.A.
105;1;3;3;3;0;0;0;3;0;2;0;2;3;3;1;3;3;0;0;0;0;0;3;3;3;1;Food;3;3;2;3;1;0;0;0;0;0;N.A.
106;1;3;3;3;0;0;0;3;0;2;0;2;3;3;0;0;3;0;0;0;0;0;3;3;2;0;Food;3;2;1;3;0;0;0;0;0;0;N.A.
107;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;Biomodel;1;0;0;0;0;0;0;0;0;0;N.A.
108;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;Biomodel;1;0;0;0;0;0;0;0;0;0;N.A.
109;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;Biomodel;1;0;0;0;0;0;0;0;0;0;N.A.
110;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;Biomodel;1;0;0;0;0;0;0;0;0;0;N.A.
111;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;Biomodel;1;0;0;0;0;0;0;0;0;0;N.A.
112;0;0;0;1;1;0;0;0;0;0;1;1;2;0;0;1;1;0;0;0;0;1;0;0;0;0;Biomodel;1;0;0;1;0;0;0;0;0;0;N.A.
113;0;0;0;1;1;0;0;0;0;0;1;1;2;0;0;1;1;0;0;0;0;1;0;0;0;0;Biomodel;1;0;0;1;0;0;0;0;0;0;N.A.
114;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;Biomodel;1;0;0;0;0;0;0;0;0;0;N.A.
115;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;Biomodel;1;0;0;0;0;0;0;0;0;0;N.A.
116;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;Biomodel;1;0;0;0;0;0;0;0;0;0;N.A.
117;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;Biomodel;1;0;0;0;0;0;0;0;0;0;N.A.
118;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;Biomodel;1;0;0;0;0;0;0;0;0;0;N.A.
119;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;Biomodel;1;0;0;0;0;0;0;0;0;0;N.A.
120;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;Biomodel;1;0;0;0;0;0;0;0;0;0;N.A.
