GenAspId;ManSt;ManStSc;ManRu;ManRuSc;ManAg;ManAgSc;ManSoSt;ManSoStSc;ManHab;ManHabSc;ManTer;ManTerSc;ManTra;ManTraSc;ManFac;ManFacSc;NutFeed;NutFeedSc;NutCost;NutCostSc;RepSexMat;RepSexMatSc;RepNumbOff;RepNumbOffSc;RepCy;RepCySc;RepGestInc;RepGestIncSc;RepSexInt;RepSexIntSc;ProPopStu;ProPopStuSc;ProProf;ProProfSc;ProLong;ProLongSc;ProReL;ProReLSc;ProOpBre;ProOpBreSc;ProAddVal;ProAddValSc;MarCultAcc;MarCultAccSc;MarPri;MarPriSc;MarCompDom;MarCompDomSc;MarMarCha;MarMarChaSc;RegRest;RegRestSc
70;Middle;2;Middle;2;High;1;Solitaire;1;Nocturnal;0;Middle;2;Middle;2;Middle;2;Phytofagous;2;High;1;Middle;2;Middle;2;High;3;Short;3;Polygamy;1;Low;1;Early;3;Middle;2;Middle;2;Open cycle;1;No;0;Low;1;Undetermined;0;Low;1;Yes;1;No;1
71;Middle;2;Middle;2;High;1;Gregaroius;2;Diurnal;1;High;1;Difficult;1;Complex;1;Omnivore;3;Low;3;Middle;2;Middle;2;Middle;2;Short;3;Polygamy;1;High;3;Middle;2;Middle;2;High;3;Open cycle;1;Yes;1;Middle;2;Undetermined;0;Low;1;Yes;1;No;1
72;High;1;High;3;High;1;Cologne;3;Diurnal;1;High;1;Difficult;1;Complex;1;Wood;2;High;1;Late;1;High;3;High;3;Short;3;Polygamy;1;High;3;Late;1;Short;1;High;3;Mixed cycle;2;Yes;1;Middle;2;Low;3;Low;1;Yes;1;No;1
73;High;1;High;3;High;1;Gregaroius;2;Diurnal;1;High;1;Difficult;1;Complex;1;Omnivore;3;Low;3;Late;1;Middle;2;Middle;2;Short;3;Polygamy;1;High;3;Middle;2;Middle;2;High;3;Mixed cycle;2;Yes;1;Middle;2;Undetermined;0;Low;1;Yes;1;No;1
74;High;1;High;3;High;1;Gregaroius;2;Diurnal;1;High;1;Difficult;1;Complex;1;Herbivorous;2;Middle;2;Late;1;Middle;2;Middle;2;Short;3;Polygamy;1;High;3;Middle;2;Middle;2;High;3;Closed Cycle;3;Yes;1;Middle;2;Undetermined;0;Low;1;Yes;1;No;1
75;Middle;2;Low;1;Middle;2;Solitaire;1;Nocturnal;0;Middle;2;Difficult;1;Complex;1;Herbivorous;2;Middle;2;Late;1;Middle;2;Middle;2;Short;3;Polygamy;1;Middle;2;Middle;2;Middle;2;Middle;2;Open cycle;1;Yes;1;Middle;2;Low;3;Low;1;Yes;1;No;1
76;Middle;2;High;3;High;1;Gregaroius;2;Diurnal;1;High;1;Difficult;1;Complex;1;Herbivorous;2;Middle;2;Late;1;Middle;2;Middle;2;Short;3;Polygamy;1;Middle;2;Middle;2;Middle;2;Low;1;Mixed cycle;2;Yes;1;Middle;2;Undetermined;0;Low;1;Yes;1;No;1
77;Middle;2;Middle;2;Middle;2;Solitaire;1;Diurnal;1;Middle;2;Middle;2;Middle;2;Herbivorous;2;Middle;2;Late;1;Low;1;Low;1;Short;3;Monogamy;0;Middle;2;Early;3;Long;3;Middle;2;Mixed cycle;2;Yes;1;Middle;2;Low;3;Low;1;Yes;1;No;1
78;Middle;2;Middle;2;Middle;2;Solitaire;1;Nocturnal;0;Middle;2;Middle;2;Middle;2;Xilophage;2;High;1;Middle;2;Low;1;Middle;2;Short;3;Polygamy;1;Middle;2;Early;3;Middle;2;High;3;Mixed cycle;2;Yes;1;Middle;2;Undetermined;0;Low;1;Yes;1;No;1
79;High;1;High;3;Middle;2;Gregaroius;2;Diurnal;1;High;1;Simple;3;Middle;2;Carnivorous;1;High;1;Middle;2;High;3;High;3;Short;3;Polygamy;1;High;3;Early;3;Short;1;High;3;Mixed cycle;2;No;0;High;3;Low;3;Low;1;Yes;1;No;1
80;High;1;High;3;High;1;Cologne;3;Diurnal;1;High;1;Difficult;1;Complex;1;Omnivore;3;Low;3;Middle;2;High;3;High;3;Short;3;Polygamy;1;High;3;Early;3;Short;1;High;3;Open cycle;1;Yes;1;High;3;Middle;2;Low;1;Yes;1;No;1
81;Middle;2;Low;1;Middle;2;Gregaroius;2;Nocturnal;0;Low;3;Simple;3;Middle;2;Carnivorous (larva);3;Middle;2;Late;1;Low;1;Low;1;Short;3;Polygamy;1;Low;1;Late;1;Long;3;Low;1;Open cycle;1;No;0;High;3;Middle;2;Low;1;Yes;1;No;1
82;Middle;2;Middle;2;Middle;2;Solitaire;1;Nocturnal;0;Low;3;Middle;2;Middle;2;Herbivorous;2;Middle;2;Late;1;Middle;2;Low;1;Short;3;Polygamy;1;Middle;2;Early;3;Middle;2;Middle;2;Open cycle;1;No;0;Low;1;Undetermined;0;Low;1;No;0;No;1
83;High;1;High;3;High;1;Cologne;3;Diurnal;1;High;1;Difficult;1;Complex;1;Aphid honeydew;1;High;1;Late;1;Middle;2;High;3;Short;3;Polygamy;1;Middle;2;Early;3;Short;1;Middle;2;Open cycle;1;Yes;1;Middle;2;Undetermined;0;Low;1;No;0;No;1
84;High;1;High;3;High;1;Cologne;3;Diurnal;1;High;1;Difficult;1;Complex;1;Omnivore;3;Low;3;Late;1;Middle;2;High;3;Short;3;Polygamy;1;Middle;2;Early;3;Short;1;Middle;2;Open cycle;1;Yes;1;Middle;2;Middle;2;Low;1;No;0;No;1
85;Middle;2;Middle;2;Middle;2;Solitaire;1;Nocturnal;0;Middle;2;Middle;2;Middle;2;Herbivorous;2;Middle;2;Late;1;Low;1;Low;1;Middle;2;Polygamy;1;Low;1;Late;1;Middle;2;Low;1;Open cycle;1;No;0;Middle;2;Undetermined;0;Low;1;No;0;No;1
